,movie_title,genres,audience_rating,tomatometer_rating
461,fuel,special interest,82.0,72.0
462,hush,mystery & suspense,37.0,50.0
463,anna karenina,classics,69.0,93.0
464,anna karenina,drama,69.0,93.0
465,anna karenina,romance,69.0,93.0
466,orphan,drama,63.0,56.0
467,orphan,horror,63.0,56.0
468,orphan,mystery & suspense,63.0,56.0
469,my sister's keeper,drama,72.0,48.0
470,the hangover,comedy,84.0,78.0
471,the stepfather,horror,35.0,11.0
472,the stepfather,mystery & suspense,35.0,11.0
473,okuribito (departures),art house & international,92.0,80.0
474,okuribito (departures),drama,92.0,80.0
475,boogie (summer holiday),comedy,67.0,100.0
476,boogie (summer holiday),drama,67.0,100.0
477,prima ballerina,art house & international,100.0,81.0
478,prima ballerina,special interest,100.0,81.0
479,season of the witch,action & adventure,30.0,11.0
480,season of the witch,drama,30.0,11.0
481,season of the witch,mystery & suspense,30.0,11.0
482,season of the witch,science fiction & fantasy,30.0,11.0
483,shuttle,mystery & suspense,36.0,50.0
484,miss march,comedy,29.0,5.0
485,an american affair,drama,41.0,16.0
486,an american affair,mystery & suspense,41.0,16.0
487,grace,drama,31.0,71.0
488,grace,horror,31.0,71.0
489,endgame,drama,57.0,71.0
490,endgame,mystery & suspense,57.0,71.0
491,the red baron (der rote baron),action & adventure,43.0,20.0
492,the red baron (der rote baron),drama,43.0,20.0
493,the red baron (der rote baron),romance,43.0,20.0
494,the objective,action & adventure,32.0,33.0
495,the objective,horror,32.0,33.0
496,the objective,mystery & suspense,32.0,33.0
497,the objective,science fiction & fantasy,32.0,33.0
498,happy tears,comedy,21.0,27.0
499,happy tears,drama,21.0,27.0
500,the missing person,comedy,44.0,64.0
501,the missing person,drama,44.0,64.0
502,the missing person,mystery & suspense,44.0,64.0
503,polanski (polanski unauthorized),art house & international,38.0,0.0
504,polanski (polanski unauthorized),drama,38.0,0.0
505,mammoth (mammut),art house & international,63.0,45.0
506,mammoth (mammut),drama,63.0,45.0
507,crude,documentary,85.0,95.0
508,crude,special interest,85.0,95.0
509,the messenger,drama,75.0,90.0
510,the messenger,romance,75.0,90.0
511,lake mungo,horror,62.0,95.0
512,lake mungo,mystery & suspense,62.0,95.0
513,venkovský ucitel (the country teacher),art house & international,72.0,81.0
514,venkovský ucitel (the country teacher),drama,72.0,81.0
515,the apartment,classics,94.0,93.0
516,the apartment,comedy,94.0,93.0
517,the apartment,drama,94.0,93.0
518,the apartment,romance,94.0,93.0
519,chatham (the golden boys),comedy,22.0,28.0
520,chatham (the golden boys),romance,22.0,28.0
521,the ape,classics,12.0,43.0
522,the ape,drama,12.0,43.0
523,the ape,horror,12.0,43.0
524,the ape,science fiction & fantasy,12.0,43.0
525,fame,drama,36.0,24.0
526,fame,musical & performing arts,36.0,24.0
527,fame,romance,36.0,24.0
528,outrage,documentary,76.0,77.0
529,skin,art house & international,79.0,84.0
530,skin,drama,79.0,84.0
531,skin,mystery & suspense,79.0,84.0
532,helen,drama,36.0,67.0
533,bakjwi (thirst),art house & international,75.0,81.0
534,bakjwi (thirst),drama,75.0,81.0
535,bakjwi (thirst),horror,75.0,81.0
536,vengeance (fuk sau),action & adventure,60.0,91.0
537,vengeance (fuk sau),art house & international,60.0,91.0
538,vengeance (fuk sau),mystery & suspense,60.0,91.0
539,new world order,documentary,48.0,56.0
540,new world order,special interest,48.0,56.0
541,april fool's day,horror,47.0,50.0
542,blood: the last vampire,action & adventure,33.0,25.0
543,blood: the last vampire,art house & international,33.0,25.0
544,blood: the last vampire,horror,33.0,25.0
545,blood: the last vampire,science fiction & fantasy,33.0,25.0
546,shrink,comedy,50.0,27.0
547,shrink,drama,50.0,27.0
548,ong bak 2,action & adventure,53.0,48.0
549,ong bak 2,art house & international,53.0,48.0
550,bananas!,art house & international,44.0,86.0
551,bananas!,documentary,44.0,86.0
552,bananas!,special interest,44.0,86.0
553,last ride,drama,65.0,93.0
554,tron legacy,action & adventure,63.0,51.0
555,tron legacy,science fiction & fantasy,63.0,51.0
556,the canyon,drama,32.0,27.0
557,the canyon,mystery & suspense,32.0,27.0
558,"manson, my name is evil",comedy,27.0,67.0
559,"manson, my name is evil",drama,27.0,67.0
560,"manson, my name is evil",science fiction & fantasy,27.0,67.0
561,broken hill,drama,61.0,50.0
562,broken hill,kids & family,61.0,50.0
563,a beautiful life,drama,24.0,0.0
564,suck,comedy,53.0,50.0
565,suck,horror,53.0,50.0
566,suck,musical & performing arts,53.0,50.0
567,chloe,drama,39.0,51.0
568,chloe,mystery & suspense,39.0,51.0
569,armed and dangerous,comedy,39.0,10.0
570,the hole,kids & family,46.0,81.0
571,the hole,mystery & suspense,46.0,81.0
572,the hole,science fiction & fantasy,46.0,81.0
573,nobody's perfect,art house & international,87.0,73.0
574,nobody's perfect,documentary,87.0,73.0
575,nobody's perfect,drama,87.0,73.0
576,nobody's perfect,special interest,87.0,73.0
577,nobody's perfect,sports & fitness,87.0,73.0
578,the good soldier,documentary,80.0,75.0
579,the good soldier,drama,80.0,75.0
580,the good soldier,special interest,80.0,75.0
581,the good soldier,television,80.0,75.0
582,high life,comedy,43.0,80.0
583,around the world in 80 days,action & adventure,57.0,69.0
584,around the world in 80 days,comedy,57.0,69.0
585,around the world in 80 days,drama,57.0,69.0
586,around the world in 80 days,kids & family,57.0,69.0
589,the good heart,drama,58.0,30.0
590,wonderful world,drama,33.0,42.0
591,wonderful world,romance,33.0,42.0
592,collapse,documentary,83.0,83.0
593,collapse,special interest,83.0,83.0
594,three blind mice,comedy,50.0,80.0
595,three blind mice,drama,50.0,80.0
596,the last song,drama,66.0,21.0
597,the last song,kids & family,66.0,21.0
598,the last song,romance,66.0,21.0
599,babies,documentary,62.0,68.0
600,babies,special interest,62.0,68.0
601,lottery ticket,comedy,44.0,34.0
602,going the distance,comedy,52.0,54.0
603,going the distance,romance,52.0,54.0
604,life as we know it,comedy,61.0,29.0
605,life as we know it,drama,61.0,29.0
606,the final,drama,32.0,13.0
607,the final,horror,32.0,13.0
608,the final,mystery & suspense,32.0,13.0
609,frozen,drama,46.0,63.0
